,PA01H:NO,RN6:NO,SOULT:NO,OPERA:NO,RN20:NO,BP_EST:NO,ARG:NO,AUB:NO,AUT:NO,A1:NO,BASCH:NO,BOB:NO,BONAP:NO,CELES:NO,CHAMP:NO,DEF:NO,EIFF3:NO,ELYS:NO,EVRY:NO,GEN:NO,GON:NO,LOGNES:NO,MANT:NO,MELUN:NO,MONTG:NO,NEUIL:NO,PA07:NO,PA12:NO,PA13:NO,PA18:NO,RUR-SE:NO,RUR-SO:NO,STDEN:NO,TREMB:NO,HAUS:NO,VERS:NO,VILLEM:NO,VITRY:NO,RN2:NO,PA15L:NO,OBJECTID
,PARIS 1er Les Halles,Route Nationale 6 - MELUN,Boulevard Soult,Place de l'Opéra,RN20 Montlhéry,Boulevard Périphérique Est,ARGENTEUIL,AUBERVILLIERS,Boulevard Péripherique Auteuil,Autoroute A1 - Saint-Denis,Place Victor Basch,BOBIGNY,Rue Bonaparte,Quai des Célestins,CHAMPIGNY-SUR-MARNE,LA DEFENSE,Tour Eiffel 3ème étage,Avenue des Champs Elysées,EVRY,GENNEVILLIERS,GONESSE,LOGNES,MANTES-LA-JOLIE,MELUN,MONTGERON,NEUILLY-SUR-SEINE,PARIS 7ème,PARIS 12ème,PARIS 13ème,PARIS 18ème,Zone rurale Sud-Est - Forêt de Fontainebleau,Zone rurale Sud-Ouest - Forêt de Rambouillet,SAINT-DENIS,TREMBLAY-EN-FRANCE,Boulevard Haussmann,VERSAILLES,VILLEMOMBLE,VITRY-SUR-SEINE,Route nationale 2 - PANTIN,Paris stade Lenglen,0
,PA01H,RN6,SOULT,OPERA,RN20,BP_EST,ARG,AUB,AUT,A1,BASCH,BOB,BONAP,CELES,CHAMP,DEF,EIFF3,ELYS,EVRY,GEN,GON,LOGNES,MANT,MELUN,MONTG,NEUIL,PA07,PA12,PA13,PA18,RUR-SE,RUR-SO,STDEN,TREMB,HAUS,VERS,VILLEM,VITRY,RN2,PA15L,1
,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,2
,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,3
,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,4
2019/12/11 02:00:00+00,,7.900000,1.600000,9.100000,16.900000,42.700000,0,0.100000,4.500000,33.600000,,0.100000,6.100000,1,0,0.300000,0.600000,,1.600000,0.500000,0.600000,0,0.500000,0.500000,0.600000,1.300000,0.100000,1.600000,0.400000,0.500000,0,0,0.100000,1.200000,6.200000,0.100000,0,0.300000,11.400000,0,8262
2019/12/11 03:00:00+00,,3.700000,2,6.400000,34.400000,40.300000,0.200000,0,4,30.500000,,0.200000,5.700000,0.200000,0,0.900000,0.900000,,1.800000,0.400000,0.800000,0,0.500000,0.400000,0.600000,1.300000,0.100000,1.500000,0.600000,0.300000,0,0,0.300000,1.200000,2.300000,0,0,0.400000,7.300000,0.200000,8263
2019/12/11 04:00:00+00,,10.100000,2.600000,10.400000,68.100000,63.100000,1.100000,0.400000,8,76.500000,,0.500000,5.200000,0.100000,0,0.500000,0.800000,,1.700000,0.800000,0.800000,0.200000,0.800000,0.400000,0.800000,1.600000,0.100000,1.500000,0.600000,1.200000,0,0,0.400000,1.300000,4,0,0.600000,0.500000,17.600000,0.100000,8264
2019/12/11 05:00:00+00,,35.900000,8.100000,16.700000,186,142.200000,4,2.900000,115.700000,122.200000,,2.100000,8.500000,7,1.800000,0.700000,1,,2.400000,2.100000,1.300000,0,1.300000,1.600000,1.300000,2.800000,0.500000,3.300000,2.100000,1.300000,0,0,1.100000,1.800000,9.900000,0.400000,0.400000,1.100000,63.200000,0.100000,8265
2019/12/11 06:00:00+00,,106.500000,43.700000,63.900000,,118.300000,21.900000,12.400000,273.500000,202.100000,,5.500000,35.400000,26,5,2.400000,0.900000,,7.600000,1.500000,3.200000,0.600000,8.700000,3.500000,3,6.300000,1.900000,5.800000,5.500000,5.200000,0,0.800000,3.700000,2.500000,47.300000,1.200000,1.500000,6.700000,77.800000,0.500000,8266
2019/12/11 07:00:00+00,,136.700000,187.300000,138.600000,,140.800000,40,33.400000,415.800000,335.900000,,21.900000,89.400000,103.300000,12.500000,6.400000,1,,9.900000,3.400000,12.400000,1.900000,17.300000,7.900000,5.900000,17.800000,8.500000,25,22.500000,11.900000,0,0,19.900000,13.700000,93.700000,11,8.500000,31.500000,107.200000,2.800000,8267
2019/12/11 08:00:00+00,,139,195.600000,155.800000,,136.200000,30,30.600000,370.700000,369,,67.800000,108.300000,100.800000,30.900000,7.900000,0.700000,,17.400000,5.400000,40.500000,7.800000,63.200000,18.800000,18.300000,32.800000,20.300000,70.100000,64.200000,8.900000,0,0,31,33.400000,111.500000,22.400000,41.100000,71.300000,53.500000,8.600000,8268
2019/12/11 09:00:00+00,,106.400000,227,167.700000,,198.200000,26.200000,25.900000,319.200000,337.100000,,38,164.400000,101.300000,56.200000,6.700000,0.700000,,23,8.500000,30.400000,19.400000,11,15.900000,32.900000,36.300000,17.500000,48.800000,39.200000,9.800000,0,0,27.400000,68,105.600000,20.500000,69.500000,59.700000,50.300000,12.300000,8269
2019/12/11 10:00:00+00,,90.800000,116.300000,160.900000,171.500000,120.500000,20.700000,12.600000,296.100000,297.200000,,21.700000,120.900000,68.200000,83.200000,5.700000,2.700000,,17.700000,6.200000,17.900000,34,,18.100000,25.800000,28.900000,27.500000,28.700000,30.700000,9.400000,0.100000,0.300000,11.600000,88.800000,78,6.400000,76.800000,18.300000,29.400000,7.300000,8270
2019/12/11 11:00:00+00,,109.500000,52.600000,112.400000,178.700000,13.200000,8.100000,7.300000,206,248.900000,,7.500000,71.400000,54.200000,47.100000,4.400000,1.900000,,11.700000,4.800000,5.800000,37.300000,,14.400000,12.100000,9.800000,7.400000,16.900000,6.700000,7,0.400000,0,6.600000,36.900000,53.600000,4.300000,17.500000,10.200000,27.200000,6.400000,8271
2019/12/11 12:00:00+00,,104.100000,35.300000,128.300000,165.900000,18.900000,10.800000,9.800000,219.900000,235.700000,,5.600000,52.400000,37.800000,15.200000,4.300000,2.300000,,12.100000,5.300000,3.500000,14.400000,,14.600000,7.300000,9.600000,8.600000,10.900000,5.900000,8.400000,0.400000,0,5.300000,10.100000,54.800000,4.700000,7.300000,7.100000,24.800000,4.400000,8272
2019/12/11 13:00:00+00,,79.700000,40.300000,113.100000,179.800000,53.100000,14.400000,6.800000,234.400000,245.600000,,5,55.600000,44,10.200000,3.500000,2.100000,,9.300000,3.800000,3.700000,10.700000,,6.800000,5.300000,8.400000,6.700000,8.900000,6.100000,7.300000,0.100000,0,4.700000,13.100000,56.600000,2.700000,5.300000,6.500000,17.500000,3.300000,8273
2019/12/11 14:00:00+00,,83.600000,33.500000,125.100000,171.700000,37.900000,10.100000,9.300000,157.800000,192.800000,,5.500000,53.600000,32.300000,9,5.100000,2.600000,,8.500000,3,5.300000,5.400000,,7.300000,5.700000,10.100000,4.600000,8.300000,5.900000,6.400000,0.100000,0.100000,5.900000,8.200000,61,2,5.900000,6.100000,30.900000,2.800000,8274
2019/12/11 15:00:00+00,,102,63.600000,112.900000,188.400000,84.300000,13.800000,8.300000,149.600000,139.700000,,4.400000,51.900000,40,7.200000,6.300000,1.600000,,5.400000,2.500000,3.800000,3.300000,,4.800000,4.800000,8.400000,3.400000,8,4.700000,3.800000,0,0.100000,5.200000,6.200000,42,1.300000,4,7.400000,45.300000,1.900000,8275
2019/12/11 16:00:00+00,,116.700000,53.600000,130.900000,178.400000,66.100000,12,8,154.200000,130.100000,,3.500000,59.400000,34.100000,5.800000,8,2.100000,,7.900000,3.300000,3.300000,1.300000,,9.900000,3.900000,6.600000,2.700000,,5.700000,3.100000,0,0,5.600000,7.300000,52.300000,0.800000,2.300000,3.300000,53.800000,1.600000,8276
2019/12/11 17:00:00+00,,115.400000,59.400000,306.800000,226.900000,119.800000,7.700000,10.100000,98.300000,143.800000,,4.500000,123,20.700000,6.100000,7.600000,0.800000,,10.700000,2.300000,2.500000,1.700000,,7.500000,3.700000,12.100000,1.800000,9.600000,8.900000,3,0,0,5.600000,4,30,1,4.900000,2.500000,126.400000,1.400000,8277
2019/12/11 18:00:00+00,,122.600000,32.700000,324.500000,151.900000,189.700000,6.700000,6.900000,99.300000,113,,5.200000,50.700000,35.100000,4.900000,8.100000,0.900000,,10.500000,2.400000,4,2,,4.400000,3.900000,14.500000,2.100000,10.100000,8.700000,4.100000,0,0,5.300000,2.900000,68.300000,1.100000,9.200000,3.900000,93.800000,1.800000,8278
2019/12/11 19:00:00+00,,52.800000,35.100000,164.900000,130.400000,121.200000,6.500000,6.400000,117.400000,126.100000,,3.100000,39.900000,24.800000,3.600000,6.500000,0.900000,,10.200000,2,2.900000,0.300000,,2.600000,2.600000,10.600000,1.700000,8.100000,5.200000,4.500000,0,0,6.100000,2.100000,49.300000,0.600000,3.800000,1.100000,87.400000,1.300000,8279
2019/12/11 20:00:00+00,,50.700000,29.500000,77.800000,134.600000,105.100000,5.800000,4.100000,107.300000,108.200000,,1.300000,46.400000,25.600000,2.300000,3.300000,1,,4.900000,1.100000,2.100000,0,,2.700000,2,5.400000,1.100000,4.300000,3.300000,2.100000,0,0,2.400000,1.800000,39.800000,0.200000,1.500000,2.900000,64.400000,0.600000,8280
2019/12/11 21:00:00+00,,53,15,69.100000,70.800000,50.300000,2.800000,1.900000,107.600000,171,,0.800000,33.500000,31,2.400000,1.400000,1,,3.500000,0.700000,1.200000,0,,2,1.600000,3,1.500000,3.300000,1.600000,2.400000,0,0,1.400000,1.900000,26.900000,0.700000,0.200000,1.700000,27.100000,0.700000,8281
2019/12/11 22:00:00+00,,25.700000,14.400000,51.600000,38.300000,11.300000,2.200000,0.900000,136.100000,154.100000,,0.400000,26.400000,16.200000,1.600000,0.700000,0.800000,,2.800000,0.300000,0.900000,0,,1.500000,1.100000,2.300000,2.300000,1.800000,1.100000,1.900000,0,0,1.200000,3.100000,31.200000,0.200000,0.300000,1.800000,8,0.300000,8282
2019/12/11 23:00:00+00,,20.200000,47.500000,60.600000,48.800000,13,1.300000,0.500000,151.600000,122.100000,,0.700000,27.200000,9.100000,1.500000,1.100000,0.900000,,2.600000,0.200000,0.900000,0,,0.500000,1,2.800000,1.700000,1.600000,1,1.800000,0,0,0.600000,2.200000,36.100000,0.100000,0.200000,1.700000,10.400000,0.100000,8283
2019/12/12 00:00:00+00,,11.200000,39,35.300000,26.500000,0.400000,0.600000,0.100000,97.800000,94.400000,,0.100000,20.200000,11.400000,1.300000,0.400000,0.400000,,1.900000,0.100000,0.800000,0,,1.100000,0.800000,1.700000,0.800000,1.800000,0.600000,1.300000,0,0,0.100000,1.300000,22,0,0.200000,0.800000,4.400000,0.100000,8284
2019/12/12 01:00:00+00,,9.800000,9.900000,17.400000,13.700000,0,0.400000,0,52.100000,64.500000,,0.100000,3.400000,4.100000,0,0.200000,0.800000,,2.500000,0.200000,0.500000,0,,0.600000,0.500000,2.100000,0.600000,1.900000,0.200000,0.900000,0,0,0.100000,1.300000,11.300000,0.100000,0,1,3.900000,0.100000,8285
2019/12/12 02:00:00+00,,8.600000,23.600000,12.800000,25.600000,0.400000,0,0,40.200000,58.100000,,0.400000,4.600000,4.400000,0.100000,0.100000,0.700000,,1.600000,0.100000,0.400000,0,,0.500000,0.600000,1.700000,0.200000,1.700000,0.300000,0.600000,0,0,0,1.200000,8.800000,0.100000,0,0.300000,2.500000,0.100000,8286
2019/12/12 03:00:00+00,,6.500000,28.800000,8.600000,53.500000,0,0,0,38.100000,69.400000,,0.100000,4.500000,0.800000,0.100000,0,0.700000,,2.100000,0.100000,0.700000,0,,1.100000,0.500000,1.700000,0,0.800000,0.400000,0.800000,0,0,0,1.100000,5.500000,0.100000,0.200000,0.200000,4.200000,0.100000,8287
2019/12/12 04:00:00+00,,21.100000,56.400000,13.600000,96,2.600000,1.300000,0,69.100000,134.600000,,0,8,5.500000,0.800000,0.400000,0.600000,,1.900000,0.400000,0.600000,0,,0.900000,0.700000,2.400000,0.100000,1.200000,0.500000,1,0,0,0.200000,1.700000,8.200000,0,0.200000,0.700000,3.400000,0.100000,8288
2019/12/12 05:00:00+00,,46.300000,22,37.900000,216.700000,106.300000,3.600000,1.300000,129.300000,262.400000,,0.700000,8.500000,9.900000,5.500000,0.500000,1.100000,,2,0.700000,1.200000,0.600000,,2,3.400000,3.100000,0.300000,2.400000,1.200000,1.200000,0,0,0.600000,2.600000,10.100000,0.200000,0,5.400000,28.300000,0.100000,8289
2019/12/12 06:00:00+00,,62.700000,80.300000,56,182.200000,128.200000,25.200000,9.400000,157.400000,212.700000,,8.900000,31.400000,30.300000,8.400000,1.600000,0.800000,,3.600000,1,4.900000,1.900000,,3.500000,3.100000,6.700000,1.300000,6.100000,3.700000,3.100000,0,0,5.800000,4.100000,36.200000,0.500000,4.500000,7.400000,90.100000,0.500000,8290
2019/12/12 07:00:00+00,,107.300000,121.500000,97.500000,304.300000,135.500000,19.800000,20.300000,186.900000,162.800000,,11.500000,52.800000,35.100000,8.300000,7.800000,0.800000,,9.200000,3.200000,14.100000,1.200000,,5.100000,3.400000,11.700000,2,17.600000,10.300000,3.600000,0,0,8.500000,12,49,1.300000,15.600000,8.600000,140.900000,1.100000,8291
2019/12/12 08:00:00+00,,161.500000,56.100000,117.900000,243.700000,125.500000,25.600000,16.100000,190.800000,174.900000,,11.500000,73.200000,29.200000,7.500000,8.900000,0.800000,,7.700000,4.400000,24.700000,1.600000,,7.800000,4.500000,27.700000,3.500000,10.300000,12.800000,6.100000,0,0,15.500000,5.800000,35.500000,2.100000,5,5.100000,118.100000,2.700000,8292
2019/12/12 09:00:00+00,,90.900000,49.800000,157.500000,195.100000,185.600000,,16,113.700000,205.100000,,6.800000,72.200000,24.600000,4.200000,12.900000,1.600000,,7.700000,10.800000,16.800000,2.400000,,4.700000,5.100000,21.100000,3.800000,7.800000,10.800000,6.500000,0,0,17.300000,4.900000,69.100000,1.400000,4.300000,2.900000,102.200000,3.700000,8293
2019/12/12 10:00:00+00,,84,41.800000,155.500000,179,250.300000,11.100000,10.600000,98.800000,199.600000,,6,54,33.500000,4.500000,8.600000,2.400000,,5.700000,8.800000,7.700000,1.200000,,3.100000,5.800000,13.700000,9,9.100000,10,7.100000,0,0,9.200000,4.500000,56.700000,1.500000,2.900000,4.200000,96.700000,4.700000,8294
2019/12/12 11:00:00+00,,93.200000,26.300000,172.600000,168.100000,191.700000,14.600000,12.300000,65.400000,189.600000,,7.500000,45.100000,43,5,10.700000,2.700000,,6.900000,,9,1.300000,,3.200000,5.600000,14.200000,9.100000,8.800000,11.600000,9.800000,0,0,10.600000,3.100000,57,1.300000,5.300000,5.300000,79.900000,5.800000,8295
2019/12/12 12:00:00+00,,87.900000,20,151.500000,173.300000,210.600000,11.600000,9.600000,98.900000,154,,4.500000,47.200000,47.100000,4.500000,8.600000,2.800000,,4.400000,,5.100000,1.200000,2.400000,2.900000,4.300000,12.800000,6,9.900000,6.800000,8.900000,0,0.200000,7.700000,2.700000,60.500000,1.600000,5.300000,4.400000,87.400000,3.800000,8296
2019/12/12 13:00:00+00,,52.500000,17.600000,139,163.800000,187.100000,11.500000,6,67,124.100000,,3.800000,26.600000,38.400000,3.200000,5.500000,2,,3.500000,6.600000,4.200000,1.200000,2.500000,2.500000,2.900000,,5.500000,6.900000,4.900000,6.800000,0,0,6.600000,6.900000,63.300000,0.600000,4,3.500000,96.800000,3.200000,8297
2019/12/12 14:00:00+00,,53.400000,20.600000,130.700000,137.500000,173.300000,7.300000,4.200000,50.100000,123,,2.900000,27.500000,32,2.700000,4.600000,1.500000,,3.400000,4.800000,3.200000,0.700000,1.900000,2.300000,4.600000,,2.700000,4.700000,3.600000,4.600000,0,0,4.600000,3.200000,49,0.400000,3.700000,2.600000,57.800000,2.100000,8298
2019/12/12 15:00:00+00,,61.100000,10.900000,132.900000,136.400000,182.900000,5.100000,3.900000,86.900000,113,,2.400000,16.400000,36.200000,2.200000,4.900000,1,,3.100000,3.500000,2.300000,0,1.700000,2.300000,3,,2.700000,3.900000,2.900000,4.300000,0,0,2.500000,1.600000,65.100000,0.600000,2.600000,2.200000,57.800000,1.800000,8299
2019/12/12 16:00:00+00,,69.200000,17.800000,150.300000,154,152.300000,5.500000,4.200000,99,127.100000,,2.500000,50.400000,37,2.400000,4.900000,0.800000,,2.700000,4.300000,2.100000,0,1.800000,4.100000,2.800000,6.500000,2,4.200000,3.100000,5.300000,0,0,3.400000,2.300000,57.500000,0.800000,3.700000,2.800000,90.700000,1.900000,8300
2019/12/12 17:00:00+00,,85.300000,14.100000,306.600000,135.500000,165.800000,4.200000,3.500000,107.700000,120.600000,,2.300000,15.800000,38.700000,2.600000,6.700000,0.800000,,2.700000,3.600000,2.500000,0,2.900000,3.400000,3.300000,7.300000,1.900000,4.400000,2.500000,4.900000,0,0,3.200000,1.100000,62.500000,0.600000,5.600000,4.300000,68,1.900000,8301
2019/12/12 18:00:00+00,,80.400000,15.600000,182.400000,136,143.800000,4.400000,2.700000,137.200000,107.400000,,1.600000,12.400000,31.300000,2.400000,7.300000,0.900000,,2.600000,3.900000,2,0,3.100000,3.200000,3.700000,6.900000,2.300000,3.200000,2.400000,5.100000,0,0,2.400000,1.600000,68.200000,0.800000,3.600000,3.600000,75.100000,1.600000,8302
2019/12/12 19:00:00+00,,58.900000,8.100000,210.900000,115.200000,131.900000,3.100000,3.500000,85.600000,111.200000,,1.400000,16.200000,38,1.800000,5.800000,1,,2.500000,3.600000,1.500000,0,3.300000,2,2.900000,9,2.700000,3.900000,2.800000,5.600000,0,0,2.300000,1.200000,105.600000,0.500000,4.700000,3.200000,69.400000,1.600000,8303
2019/12/12 20:00:00+00,,37.100000,11.100000,110.900000,143.200000,150.400000,3.400000,3.400000,96.400000,109.700000,,1,44.800000,55.400000,1.900000,3.600000,0.800000,,3.800000,3.500000,1.600000,0,4,1,2.700000,9.900000,2,3.700000,3.400000,4.300000,0,0,1.800000,1.100000,63.800000,1.200000,2.600000,3.200000,78.100000,1.300000,8304
2019/12/12 21:00:00+00,,43.100000,28.100000,118.400000,79.700000,165.600000,6.100000,9.400000,105.300000,151.400000,,1.100000,56.100000,49.800000,2.800000,3.800000,1.100000,,2.900000,2.800000,1.500000,0,3.500000,1.500000,1.900000,11.600000,4.700000,9.400000,8.300000,6.300000,0,0,10.400000,1,46.900000,0.300000,1.300000,4.100000,87.400000,0.700000,8305
2019/12/12 22:00:00+00,,38.500000,15.500000,89.400000,59,75.200000,3.400000,8.300000,77,139.100000,,1.600000,54.400000,20.200000,5,0.900000,0.800000,,2.500000,1,4.200000,0,1.400000,1.400000,1.500000,2.800000,2.100000,5.700000,4.400000,5.900000,0,0,4.100000,1.800000,41.500000,0.200000,1.500000,3.500000,41.900000,0.200000,8306
2019/12/12 23:00:00+00,,16.700000,6.800000,54.800000,43.300000,61,0.900000,2.200000,61.900000,88.600000,,0.800000,21.800000,9.900000,1.100000,0.800000,0.500000,,1.400000,0.600000,1.800000,0,0.600000,0.800000,1,2.100000,0.600000,3.300000,1.900000,1.500000,0,0,1.500000,1.500000,19.100000,0.100000,0.100000,1.100000,35.800000,0.100000,8307
2019/12/13 00:00:00+00,,6.400000,2.700000,51.900000,30.200000,74.400000,0.300000,1.100000,47.400000,91.300000,,0.800000,32.800000,6.400000,0,0.500000,0.600000,,2,0.500000,0.900000,0,0.200000,0.500000,0.700000,2.400000,1.400000,2.200000,1.200000,0.400000,0,0,0.900000,0.800000,16,0.100000,0.300000,0.800000,28.600000,0.200000,8308
2019/12/13 01:00:00+00,,4.600000,3,32,18.200000,41.400000,0.200000,0.100000,30.300000,47.200000,,0.300000,17.100000,2.900000,0,0.400000,0.400000,,1.400000,0.400000,0.700000,0,0.200000,0.600000,0.600000,1.400000,0.400000,1.300000,0.600000,0.500000,0,0,0.400000,0.700000,15.300000,0,0.100000,0.600000,15.900000,0.100000,8309
2019/12/13 02:00:00+00,,5.500000,1.800000,21.900000,15.200000,22.800000,0,0,23.400000,43.300000,,0.200000,12.800000,2,0,0.100000,0.600000,,1.900000,0.600000,0.700000,0,0,0.800000,0.400000,1.500000,0.100000,1.100000,0.600000,0.700000,0,0,0.400000,0.800000,16.400000,0.100000,0,0.100000,10.700000,0.100000,8310
2019/12/13 03:00:00+00,,6.100000,1.500000,15.500000,45.100000,19.500000,0.200000,0,22.300000,58.300000,,0.200000,16.400000,2.200000,0,0.100000,0.800000,,1.900000,0.300000,1,0,0.100000,0.300000,0.600000,1.300000,0.100000,1.200000,0.400000,0.600000,0,0,0.300000,0.900000,11.100000,0.100000,0,0.400000,5,0,8311
2019/12/13 04:00:00+00,,10,1,9.600000,26.500000,0.700000,0.500000,0,36.100000,111.200000,,0.100000,2.100000,2.700000,0,0.200000,0.700000,,2.200000,0.100000,0.400000,0,0,0.600000,0.400000,1.700000,0.100000,0.700000,0.300000,0.500000,0,0,0.200000,0.800000,5.200000,0.200000,0,0.200000,2.200000,0.800000,8312
2019/12/13 05:00:00+00,,32.500000,1.900000,19,144.100000,1.700000,1,0,107.300000,181.600000,,0.100000,2.300000,12.900000,0.100000,0.700000,0.500000,,2.200000,0.200000,0.600000,0,0.400000,1.600000,0.700000,2.100000,0.300000,1.500000,0.300000,1,0,0,0.900000,1.100000,11.100000,0.200000,0.200000,0.200000,6.700000,0.100000,8313
2019/12/13 06:00:00+00,,45.700000,10.300000,40.800000,73.200000,4.800000,4.700000,0.800000,148.300000,174.200000,,0.300000,3.200000,18.700000,1.100000,1.900000,0.300000,,2.800000,0.300000,0.700000,0,2.400000,3.800000,1.500000,3.100000,1.100000,2.900000,0.600000,2.400000,0,0,1.300000,1.900000,18.800000,0.700000,0.200000,1.500000,10.600000,0.900000,8314
2019/12/13 07:00:00+00,,49.200000,28.500000,47,85.400000,4.500000,3.200000,1.700000,145.200000,166.100000,,0.700000,68.900000,25.800000,1.800000,2.700000,0.600000,,3.200000,0.500000,0.800000,0,2.200000,6.300000,1.700000,3.300000,4.300000,6.100000,0.800000,4,0,0,1.200000,2.200000,43.900000,2.600000,0.400000,2.500000,13.900000,1,8315
2019/12/13 08:00:00+00,,57.900000,15.200000,59.900000,130.300000,2.100000,4.200000,2,143.300000,145.500000,,0.900000,28.200000,26.800000,2.100000,4.400000,0.800000,,4,1,1.200000,0.200000,3.100000,9.600000,3.200000,4,4.200000,7.500000,1,3.400000,0,0.100000,1.200000,3.600000,48.700000,4.100000,1.100000,2.700000,9.900000,1.700000,8316
2019/12/13 09:00:00+00,,94.100000,19.100000,71.200000,133.200000,5.900000,3,2.100000,154,163.200000,,1.600000,23.200000,32,2.800000,5,0.600000,,6,1.100000,1.200000,0.500000,2.800000,5.500000,3.600000,4.200000,5.100000,9.200000,1.200000,4.900000,0,0,2.300000,5.600000,43.400000,2.800000,1.400000,13.900000,9.100000,1.600000,8317
2019/12/13 10:00:00+00,,53.900000,,63.600000,64.700000,7.700000,3.100000,3.300000,138.800000,136.600000,,2.500000,15.900000,20.600000,2.800000,5,0.900000,,5.600000,1.500000,1.400000,1.500000,2.300000,4.700000,2.200000,3.800000,4.700000,8.900000,2,4.100000,0,0,2.500000,3.500000,45.400000,1.400000,1.600000,3.100000,11.100000,2.200000,8318
2019/12/13 11:00:00+00,,64.900000,29.600000,74.900000,50.300000,6.200000,3.100000,3.400000,136.900000,146.800000,,1.600000,13.200000,25.900000,2.800000,4.100000,1,,5.100000,1.600000,1.400000,1.400000,2.700000,4.400000,2.700000,4.500000,6.100000,10.100000,2.500000,3.900000,0,0,2.500000,3.700000,45.600000,2,2.100000,4.600000,10,2.400000,8319
2019/12/13 12:00:00+00,,21.200000,17.800000,73.500000,53.500000,4.600000,4.500000,3.300000,104.400000,139.300000,,2.300000,10.400000,24,2.800000,3.300000,1.500000,,4.800000,2.400000,1.800000,1.500000,2.200000,3.700000,1.900000,4.200000,5.400000,8.100000,2.500000,5.600000,0,0.100000,3.100000,4.400000,51.200000,2,2.400000,3.200000,10.400000,2.700000,8320
2019/12/13 13:00:00+00,,28.600000,11.800000,61.600000,54.700000,6.100000,2.800000,2.400000,98.900000,127,,2.400000,6.900000,26,2.600000,2.900000,1.100000,,4.800000,2.400000,0.900000,1.300000,3.500000,3.800000,2.200000,3.700000,4.700000,6.900000,2.400000,4.700000,0,0,2.900000,9.200000,40.800000,1.800000,2.100000,5.300000,12.500000,2.500000,8321
2019/12/13 14:00:00+00,,,13.300000,64,73.900000,4.200000,3.400000,2.100000,121.400000,126.300000,,1.700000,6.600000,26.100000,2.600000,2.800000,1.100000,,5.200000,1.700000,1.400000,1.200000,3,3.200000,3.700000,3.500000,5.200000,5.700000,2.700000,3.700000,0,0,3.500000,6.300000,41,1.900000,2.300000,2.800000,11.200000,2.100000,8322
2019/12/13 15:00:00+00,,,18.200000,68.500000,74.800000,4.200000,3.900000,1.900000,107.700000,156.800000,,1.500000,10.200000,26.100000,2.500000,2.400000,1.100000,,4.600000,1.300000,1.300000,0.700000,2.400000,2.600000,2.800000,3.700000,4.100000,6.300000,2.200000,3.700000,0,0,3.700000,3.800000,46.400000,1.900000,1.200000,4.700000,11.900000,1.900000,8323
2019/12/13 16:00:00+00,,62.600000,20,75.600000,114.500000,8.800000,3.300000,1.900000,98.800000,167.500000,,1.100000,19.900000,32.500000,2.700000,2.100000,0.800000,,4.700000,0.800000,0.700000,0.300000,3.600000,9.300000,4.100000,3.700000,4.200000,7.400000,2.400000,4.100000,0,0,5.800000,5.600000,50.600000,3.500000,0.700000,5.400000,15,1.800000,8324
2019/12/13 17:00:00+00,,100.600000,41.200000,114.800000,128.600000,23.100000,9.700000,1.900000,178.200000,183.200000,,0.600000,37.200000,28.400000,2.500000,1.300000,0.900000,,5.200000,0.500000,0.900000,0.500000,8.900000,8.900000,3.500000,4.500000,4.200000,8.800000,1.800000,2.800000,0,0,3.400000,2.900000,71.500000,2.600000,0.700000,4.400000,14.700000,1.500000,8325
2019/12/13 18:00:00+00,,111.500000,34.500000,107.400000,139.100000,31.800000,7,2.800000,118.100000,213.900000,,1,54,31.300000,4.800000,0.800000,0.800000,,5.100000,0.700000,1.100000,0.300000,7.100000,6.700000,5.500000,3.900000,3.800000,5.900000,2.300000,2.800000,0,0,2,5.300000,44.400000,1.300000,0.900000,3.600000,11,1,8326
